t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
2.22,3.66536235676,-0.679450407758,213.433514034,-22.8875398884,-16.9318022681,0.31693639473,0.0,0.0,0.0,0.0,0.0,0.0
2.25,-2.32546873208,-1.04171761839,214.741259456,-22.7967210036,-24.932352248,-0.367377168893,0.0,0.0,0.0,0.0,0.0,0.0
2.28,-15.0794914752,-1.1569100072,217.453785113,-23.0285463337,-38.2501132773,-1.90471387025,0.0,0.0,0.0,0.0,0.0,0.0
2.31,-40.0020724004,-0.221268706106,222.098633999,-24.297388069,-60.0227551204,-5.09235008704,0.0,0.0,0.0,0.0,0.0,0.0
2.34,-86.6579645211,3.50258123004,230.185068267,-28.6959796961,-94.1913205804,-11.6540841989,0.0,0.0,0.0,0.0,0.0,0.0
2.37,-167.200402376,3.90609322895,315.816099539,-38.7638148778,-146.820920476,-22.8732892546,0.0,0.0,0.0,0.0,0.0,0.0
2.4,20.1249173034,0.449918052951,44.9780275423,-0.0254275685055,3.23464996255,0.0228436180336,0.0,0.0,0.0,0.0,0.0,0.0
2.43,82.6244352313,-14.5265307969,167.526964243,4.13824343307,43.6472623049,2.69118419534,31.3009831795,-13.423879943,44.5448423031,3.17951219233,30.9072690103,4.36209459574
2.46,0.0,0.0,0.0,0.0,0.0,0.0,154.888183764,25.3480864484,321.962862729,20.8117803403,114.987868769,-35.9308338007
2.49,0.0,0.0,0.0,0.0,0.0,0.0,60.7709348824,3.61702058605,225.410326863,22.2994322704,71.1851665751,-8.91197866961
2.52,0.0,0.0,0.0,0.0,0.0,0.0,11.5611561899,0.895138731839,220.912339302,22.9822827136,40.2354741238,-0.421325119564
2.55,0.0,0.0,0.0,0.0,0.0,0.0,-5.77438961369,-0.0786658944443,217.400703723,23.5604496455,22.9746998634,1.72049888681
2.58,0.0,0.0,0.0,0.0,0.0,0.0,-10.5564853123,-0.507619537498,215.734586033,23.8767758634,14.1455485572,1.96602830518
2.61,0.0,0.0,0.0,0.0,0.0,0.0,-10.6476604207,-0.663235880081,215.434006396,24.0367380347,9.81495017672,1.73406128568
2.64,0.0,0.0,0.0,0.0,0.0,0.0,-9.09011755859,-0.673502285523,215.580092458,24.0983759301,7.54580047043,1.4191603864
2.67,0.0,0.0,0.0,0.0,0.0,0.0,-7.13824607943,-0.6099909746,215.618601442,24.0750947646,6.02340118314,1.13041508747
2.7,0.0,0.0,0.0,0.0,0.0,0.0,-5.30374972184,-0.501708114088,215.312881534,23.9621898132,4.64573411925,0.899677119126
2.73,0.0,0.0,0.0,0.0,0.0,0.0,-3.73137336687,-0.355294350576,214.562830099,23.7454163389,3.21457506058,0.731192272956
2.76,0.0,0.0,0.0,0.0,0.0,0.0,-2.37979388341,-0.190552617285,213.276837401,23.4078630313,1.73676852396,0.615340830857
2.79,0.0,0.0,0.0,0.0,0.0,0.0,-1.12949745728,-0.0888874852144,211.307770139,22.954547262,0.301999415151,0.532281337943
2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.157519496686,-0.203737846399,208.541190578,22.4933688033,-1.00675663915,0.451170269299
2.85,0.0,0.0,0.0,0.0,0.0,0.0,1.42874876014,-0.168882106894,208.065546705,22.3985343649,-2.30175931906,0.310937797554
