t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz
2.49,0.7536225556369948,-0.002030584939499918,0.8519570025390019,-0.001120684062560735,0.0008364049162118331,0.000868437455647664,0.999998645154299,0.3268437605706228,0.008901746810674044,0.12601113597482,0.10984076859605216,-0.10259305922387793,-0.044916614089694384
2.52,0.7658889896812923,-0.001701678232257783,0.8558569634232446,-0.000306307006468872,-9.697058991031304e-05,0.00028333456820122006,0.9999999082471183,0.408797235622775,0.010306975077592116,0.13031624731412833,0.0542704285050734,-0.06222847400165013,-0.03903121632329633
2.55,0.7791483453471527,-0.0013667175343755563,0.8596588889468971,6.091603870072505e-05,-0.00032838461133125984,-1.907301798817393e-05,0.9999999440445,0.442035332640464,0.011017480477375035,0.12654557459116356,0.024475209822050766,-0.015428361662100668,-0.020167605084451916
2.58,0.7925520603315886,-0.0010589193857568854,0.863160743666441,0.00025374242166349746,-0.00025254465418294534,-0.00013101983153485138,0.9999999273348897,0.44685668816961877,0.010363690740378422,0.11646567548915557,0.012852544457695169,0.005055787102878368,-0.007467649981561773
2.61,0.8057037865512828,-0.0007937761602251557,0.8662599045871876,0.000385238462977747,-0.00012971808752926904,-0.00015412889632408192,0.9999999055044094,0.4384277844301026,0.00902907307816414,0.10313206884805846,0.008764940615514541,0.00818919451521443,-0.001544896068672908
2.64,0.818479725952912,-0.0005722882781894782,0.8689367160334271,0.0004995031410388695,-5.2222039266186435e-05,-0.00014663700913287653,0.9999998631335197,0.4258786217967461,0.007589922147525465,0.08914294172858646,0.007616914093563659,0.0051677688895065054,0.0004964802214917413
2.67,0.8308927531341832,-0.0003902096999018707,0.8712062082292356,0.0006165595858795891,-2.97551065235539e-05,-0.0001344439699974715,0.9999998004468449,0.4137720384426764,0.006269995712522051,0.07560893455995622,0.007803586844894509,0.0014993454477443225,0.000811712871586569
2.7,0.8430097079220241,-0.0002421445766957161,0.8730859599700169,0.000747440447205462,-4.849343477534315e-05,-0.00012710003367184366,0.9999997114133314,0.40390207853180854,0.005126581845760442,0.06261992451692494,0.008725575217333586,-0.0012477468732975394,0.0004901054555682876
2.73,0.8549103842626576,-0.00012235041776212995,0.874582073059625,0.0008979683654726147,-9.457481178273165e-05,-0.00012704432940523831,0.9999995842839926,0.39669530377157003,0.004175961305244814,0.04980696168298788,0.010035588674402116,-0.003070813088333799,5.522104132038e-06
2.76,0.8666725640361481,-2.4386830381092778e-05,0.8756843706339643,0.0010675161899020204,-0.00015866780304551607,-0.00013342108964640163,0.9999994087160878,0.39208107772607775,0.0034396904326839273,0.036637372696763044,0.011303696806658005,-0.004271811174214757,-0.0004223507603241955
2.79,0.8783707384432263,5.8910623420174564e-05,0.8763637331502322,0.0012418643403700259,-0.00023319806008605318,-0.00014303865989197527,0.9999991914654565,0.38994720030312346,0.0029364991792544693,0.022486015083928612,0.011623779883607716,-0.004967816872137614,-0.0006377129856074532
2.82,0.8900799541811922,0.00013265698851271037,0.8765677545158531,0.0013762872632618417,-0.0003070854646309635,-0.00015010125055737693,0.9999989945002449,0.39031006725441986,0.002590148568895615,0.00658322606906072,0.008962132074099299,-0.004925128942091131,-0.00046681347921019806
2.85,0.9018777647450135,0.0001879806086704776,0.8762172137684839,0.0013728457365445243,-0.0003596724709690648,-0.00014534966747924242,0.9999989824013679,0.39325191508645907,0.0019278183110539738,-0.011952083282545562,-0.00022881027262819202,-0.003505395615733203,0.00032166721043207214
2.88,0.9138395410308421,0.0002271503617362075,0.8753100747415449,0.0012330102203719608,-0.00038145820769394943,-0.00012707308020051862,0.9999991590135786,0.3987029954505425,0.0013350918592078278,-0.030536907981803436,-0.009321725111806348,-0.0014520590145314176,0.0012237865236486528
2.91,0.9260353620054701,0.00026471750294092104,0.8739189219718145,0.0010565899525832706,-0.00037907472128318685,-0.00010213101904171021,0.9999993647444396,0.40649169441680394,0.0012388817333005776,-0.046683774882333155,-0.011760744169764976,0.0001594598964102939,0.001667094970273905
2.94,0.9385284061031097,0.00030375258230607935,0.8720872913722225,0.0008893032796754701,-0.0003543674928924474,-7.582666299603817e-05,0.9999995389067307,0.4163896829728662,0.001256168518912001,-0.06136225594576899,-0.01115195356870929,0.0016478657730960972,0.001756111066084533
2.97,0.9513711699518894,0.0003485370990129624,0.869835831771689,0.0007459326302222369,-0.0003030172965422186,-5.301134416397146e-05,0.9999996744773603,0.42804251137231786,0.0014250147969761952,-0.07533244413703258,-0.009557767545512939,0.0034239759558497024,0.001521363912113906
3.0,0.964593866695317,0.0004082512366298611,0.8671698182750426,0.000627318589094098,-0.0002140955771599599,-3.937421998014628e-05,0.9999997795420469,0.4407103645987131,0.001908994235608027,-0.08909770324490818,-0.007907644193417183,0.0059283738058175965,0.0009071158572376142
3.03,0.9781768918242322,0.000498087316928862,0.86408621770443,0.000527501948595537,-7.304679383592345e-05,-4.3185203983431275e-05,0.9999998572704389,0.4527377283730737,0.002913138836966004,-0.10292010186345632,-0.0066548691567528484,0.009402829911251022,-0.0002585394896284781
3.06,0.9919962911458124,0.0006392674841707752,0.8605838106052597,0.00043496366386352537,0.00012785486797946432,-7.660190605228609e-05,0.9999998942959403,0.46065248512251855,0.004648831854992947,-0.11672615902637894,-0.006169960585944313,0.013392000924040385,-0.0022343941581971843
3.09,1.0057280230373353,0.0008561394741982204,0.8566804553711569,0.0003293970319861074,0.0003639376139014474,-0.00015333562176969706,0.9999998677675891,0.45778667241654314,0.007234954586164686,-0.12989225029009333,-0.00703832560462406,0.01573608428254641,-0.005123326346294619
3.12,1.0186960603080581,0.0011608277501032405,0.8524423272069377,0.00017452697398100602,0.0005334094759078447,-0.0002709188617719314,0.9999998058087994,0.4323901772230533,0.010268601537469153,-0.14088813834664984,-0.01032354746292317,0.011293959023830421,-0.007846361455146991
