t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
2.07,3.15095931575,0.0407600498215,211.490960305,-22.9401712612,-3.20323697586,-0.0930798265759,0.0,0.0,0.0,0.0,0.0,0.0
2.1,4.49011706808,0.0166177917056,212.149814241,-23.1225457164,-4.74874310328,0.139213845854,0.0,0.0,0.0,0.0,0.0,0.0
2.13,5.61633272998,-0.00685516240104,212.499157828,-23.2016979335,-6.56829275727,0.355441293059,0.0,0.0,0.0,0.0,0.0,0.0
2.16,6.27092836053,-0.118173717144,212.692547628,-23.1690013064,-8.85792870593,0.511344656608,0.0,0.0,0.0,0.0,0.0,0.0
2.19,5.94654644603,-0.345811544985,212.907798699,-23.0472790935,-12.0414936964,0.538712291862,0.0,0.0,0.0,0.0,0.0,0.0
2.22,3.66536368248,-0.679450885069,213.43351295,-22.8875393041,-16.9318012008,0.316936695822,0.0,0.0,0.0,0.0,0.0,0.0
2.25,-2.32546884756,-1.04171968159,214.741261149,-22.796719815,-24.9323526343,-0.367377348232,0.0,0.0,0.0,0.0,0.0,0.0
2.28,-15.0794932889,-1.15691272787,217.45378587,-23.0285442614,-38.2501157759,-1.90471452515,0.0,0.0,0.0,0.0,0.0,0.0
2.31,-40.0020753871,-0.221272382241,222.09863873,-24.2973862924,-60.022759296,-5.09235105153,0.0,0.0,0.0,0.0,0.0,0.0
2.34,-86.6579672374,3.50257624583,230.185067881,-28.6959758521,-94.191325343,-11.6540854,0.0,0.0,0.0,0.0,0.0,0.0
2.37,-167.200399983,3.90608781961,315.816055826,-38.7638048802,-146.820918392,-22.8732893025,0.0,0.0,0.0,0.0,0.0,0.0
